Жанр фильма,"Продолжительность, часы","Продолжительность, минуты",Страна производства,Год производства
Боевик,3,28,Россия,2002.0
Триллер,10,24,Франция,2008.0
Драма,2,44,США,2016.0
Триллер,0,34,Россия,2010.0
Боевик,1,20,Россия,2000.0
Документальный,1,10,США,2002.0
Документальный,1,1,США,
Драма,4,54,Россия,
Драма,1,41,США,2008.0
Боевик,1,0,Германия,2014.0
Драма,1,20,Италия,2014.0
Документальный,0,50,США,2015.0
Триллер,1,30,Франция,2007.0
Боевик,нет данных,7,США,2013.0
Комедия,6,41,Россия,2007.0
Драма,нет данных,82,Россия,2004.0
Триллер,0,37,США,
Документальный,0,23,Россия,2012.0
Триллер,1,0,Франция,2015.0
Боевик,1,30,Италия,2014.0
Драма,1,27,Франция-Италия,2018.0
Драма,1,42,Россия,2019.0
Боевик,0,26,Россия,2007.0
Документальный,1,38,США,2009.0
Боевик,2,60,США,2011.0
Документальный,нет данных,35,США,2004.0
Боевик,12,30,Россия,2016.0
Триллер,1,15,Россия,2017.0
Триллер,1,25,Россия,
Боевик,1,30,Россия,
Триллер,3,34,Франция,2004.0
Комедия,1,26,Россия,2005.0
Комедия,1,10,Россия-Франция,2011.0
Комедия,нет данных,0,США,2009.0
Документальный,1,30,Германия-Франция,2001.0
Драма,нет данных,44,Россия,2008.0
Триллер,1,57,Россия,2011.0
Драма,нет данных,48,Франция,
Боевик,0,52,Италия,2009.0
Боевик,1,31,США,
Драма,1,59,США,2003.0
Драма,1,26,США,2008.0
Боевик,0,26,Россия,2002.0
Боевик,1,12,Россия,2012.0
Комедия,1,12,Россия,2017.0
Триллер,1,95,США,2007.0
Драма,1,0,Россия,
Драма,2,23,Россия,2010.0
Драма,1,26,США,2010.0
Боевик,0,3,США,2007.0
Документальный,1,21,США-Германия,2009.0
Триллер,нет данных,30,Россия,2008.0
Драма,1,37,Россия,2012.0
Триллер,нет данных,0,Россия,1999.0
Боевик,1,35,США,
Триллер,3,6,Россия,2008.0
Боевик,1,32,США,2011.0
Триллер,нет данных,50,Италия,2015.0
Драма,2,35,США,
Драма,1,8,Россия,2012.0
Драма,1,0,Россия,2005.0
Триллер,2,42,Россия,2007.0
Документальный,1,22,Россия,2015.0
Триллер,0,27,Франция,2015.0
Триллер,1,40,Россия-Франция,2018.0
Документальный,1,24,США-Германия,2007.0
Триллер,1,44,Россия,2012.0
Боевик,нет данных,37,Россия,2002.0
Боевик,1,39,США,2022.0
Драма,1,30,Россия,2001.0
Триллер,нет данных,29,Италия,2012.0
Драма,5,25,США,2009.0
Драма,102,45,США,2016.0
Драма,1,42,Россия,2003.0
Боевик,нет данных,44,Россия,
Боевик,1,24,Франция,
Драма,2,9,Россия,1993.0
Триллер,1,39,Россия,2015.0
Документальный,1,44,США,2012.0
Боевик,2,24,США,2009.0
Триллер,1,0,Россия,2007.0
Драма,1,35,Россия,
Боевик,2,29,Италия,2006.0
Комедия,1,110,США,2008.0
Документальный,1,30,США,2018.0
Триллер,1,52,Франция-Италия,2008.0
Боевик,нет данных,5,Италия,
Боевик,1,20,Франция,2012.0
Триллер,нет данных,50,Франция,2019.0
Драма,1,18,Италия,2007.0
Комедия,нет данных,30,Италия,2007.0
Боевик,1,5,США,2016.0
Комедия,нет данных,39,США-Германия,2005.0
Документальный,1,31,Франция,2006.0
Боевик,1,26,США,2012.0
Драма,1,3,США,2008.0
Триллер,1,52,Россия,2009.0
Драма,1,41,США,2002.0
Драма,1,10,Франция,2008.0
Боевик,1,26,США,2010.0
Драма,1,38,США,2009.0
Документальный,нет данных,37,США,2010.0
Триллер,нет данных,0,Россия-Италия,2010.0
Драма,1,0,США,
Документальный,1,37,США,2000.0
Триллер,нет данных,9,США,2020.0
Триллер,1,12,Италия,2018.0
Драма,нет данных,18,Россия,2014.0
Драма,нет данных,60,Италия,2015.0
Драма,1,39,Россия,
Документальный,1,41,Германия,
Боевик,6,20,Россия,2015.0
Боевик,1,26,Франция,2015.0
Боевик,1,30,Россия-Италия,
Драма,1,16,Россия-Германия,2001.0
Триллер,1,21,Италия,2008.0
Документальный,1,9,Германия-Франция,1998.0
Драма,1,10,Россия,2003.0
Боевик,нет данных,37,США,2011.0
Комедия,1,33,США,2007.0
Триллер,1,52,США,2006.0
Документальный,нет данных,30,Италия,2006.0
Комедия,1,43,Франция,2006.0
Боевик,1,24,Россия,2008.0
Триллер,1,30,США,2009.0
Комедия,1,44,Франция,2008.0
Боевик,2,6,Франция,2013.0
Драма,2,40,Германия,
Боевик,1,60,Италия,2007.0
Боевик,1,38,Франция,2013.0
Триллер,нет данных,45,Россия,2007.0
Документальный,3,39,Италия,2008.0
Комедия,1,30,США,2010.0
Драма,нет данных,9,Россия,2013.0
Комедия,1,45,Италия,2011.0
Боевик,1,52,США,2008.0
Драма,1,20,Россия-Франция,
Боевик,нет данных,15,США,2009.0
Комедия,2,32,Россия,2013.0
Драма,1,44,Россия,2017.0
Драма,нет данных,15,Россия,2006.0
Триллер,нет данных,10,Италия,2008.0
Боевик,1,32,Германия,2012.0
Боевик,1,60,Россия-Италия,2006.0
Боевик,8,30,США,
Документальный,1,34,Россия,2014.0
Комедия,нет данных,39,Россия,2010.0
Триллер,17,58,Россия,2004.0
Драма,1,25,Россия,2014.0
Комедия,3,10,США,2017.0
Триллер,1,52,Россия,2003.0
Драма,2,27,Россия-Франция,2001.0
Драма,1,51,Россия-Италия,2010.0
Триллер,2,34,Россия,2010.0
Драма,нет данных,11,США,
Драма,1,30,США,
Боевик,1,29,Франция,2018.0
Драма,2,2,Россия,2015.0
Боевик,1,52,Италия,2011.0
Боевик,1,30,Россия,1996.0
Документальный,нет данных,10,Франция,2005.0
Драма,1,45,Германия,2013.0
Боевик,1,34,Германия,2006.0
Документальный,4,31,Франция-Италия,2011.0
Документальный,1,50,Россия,
Триллер,1,44,Германия,2013.0
Боевик,0,16,Россия,2009.0
Боевик,1,0,Россия,2014.0
Драма,18,21,Россия,2005.0
Драма,1,33,США-Германия,
Драма,1,13,Россия,2009.0
Триллер,1,46,Россия,2013.0
Драма,1,55,Франция,1993.0
Драма,0,21,Россия,2005.0
Боевик,1,38,Италия,2017.0
Комедия,0,45,Россия,2008.0
Триллер,1,10,Германия,2010.0
Триллер,нет данных,20,Россия,2004.0
Комедия,1,27,США,2010.0
Комедия,13,39,Россия,2015.0
Драма,2,27,США,2015.0
Драма,1,32,Италия,2008.0
Драма,0,57,Россия,2014.0
Боевик,1,6,Италия,2007.0
Драма,1,42,США,2002.0
Драма,1,30,Россия-Италия,2016.0
Драма,0,33,США,2008.0
Триллер,нет данных,32,Италия,2013.0
Триллер,1,39,Франция-Италия,2010.0
Драма,2,7,США,2006.0
Документальный,1,11,Франция,2012.0
Документальный,1,38,США,
Триллер,2,40,США-Германия,2008.0
Триллер,1,14,США,2009.0
Боевик,1,0,США,2014.0
Драма,1,0,Россия,2004.0
Комедия,2,53,США,2000.0
Драма,1,8,Италия,2000.0
Боевик,1,28,Франция-Италия,2013.0
Боевик,1,46,США,2006.0
Драма,1,43,Россия-Германия,2006.0
Драма,2,59,Германия,2007.0
Драма,1,59,Италия,2021.0
Триллер,нет данных,30,США,2014.0
Драма,1,23,США-Германия,2011.0
Документальный,2,43,Россия-Италия,2013.0
Драма,2,27,Россия,2015.0
Драма,1,38,США,
Боевик,0,40,Россия,2011.0
Триллер,2,45,Россия-Германия,2001.0
Драма,нет данных,44,Италия,2008.0
Боевик,1,55,Германия-Франция,2013.0
Триллер,нет данных,52,Россия,2011.0
Драма,10,29,США,2013.0
Драма,нет данных,0,Германия,2012.0
Боевик,2,33,Франция,2007.0
Драма,0,4,Россия,2017.0
Боевик,нет данных,11,Россия,2008.0
Боевик,нет данных,29,Италия,2012.0
Комедия,1,28,США,2012.0
Триллер,1,28,Россия,2008.0
Комедия,1,20,Россия,2006.0
Драма,3,10,США,2012.0
Драма,нет данных,29,США,2006.0
Боевик,1,30,Россия,2002.0
Триллер,2,48,США,
Боевик,3,3,Россия-Германия,2009.0
Документальный,1,47,Италия,2013.0
Триллер,2,56,США,2016.0
Триллер,2,37,Россия,1994.0
Боевик,1,30,Россия,2012.0
Триллер,1,40,Россия,2005.0
Триллер,0,40,Франция,2018.0
Триллер,11,4,Россия,2012.0
Драма,8,24,Россия,2015.0
Боевик,1,58,Германия,
Драма,0,15,Германия-Франция,2016.0
Комедия,1,21,США,
Триллер,нет данных,50,Россия,2005.0
Боевик,нет данных,35,США,2015.0
Драма,нет данных,4,Россия,2015.0
Триллер,14,10,Италия,
Драма,1,49,Германия,2008.0
Драма,2,38,Россия,
Боевик,1,25,Россия,2008.0
Документальный,1,19,Франция,
Триллер,1,50,Франция,2008.0
Драма,0,29,Россия-Франция,2011.0
Комедия,1,5,Россия,2006.0
Документальный,1,32,США,2007.0
Боевик,нет данных,23,Россия,2005.0
Боевик,1,32,Россия,2006.0
Триллер,нет данных,52,Россия,2016.0
Документальный,2,32,Россия,
Драма,1,45,Германия,2017.0
Боевик,1,37,Россия,2011.0
Боевик,1,37,Россия,2012.0
Драма,1,78,США,
Боевик,1,7,Франция,2021.0
Боевик,1,47,Россия,2029.0
Драма,1,52,Россия,2006.0
Драма,1,58,Италия,2005.0
Драма,1,40,США,2006.0
Драма,1,15,Россия,2012.0
Триллер,нет данных,40,Германия,
Боевик,5,30,США,2014.0
Боевик,нет данных,26,Россия,1999.0
Боевик,нет данных,10,Германия-Франция,2022.0
Драма,1,44,США,
Документальный,нет данных,17,США,2007.0
Триллер,3,0,Франция,2002.0
Триллер,1,26,Россия,2017.0
Комедия,нет данных,30,Германия,2012.0
Драма,0,12,Франция,
Драма,2,26,Италия,2015.0
Драма,2,28,Россия,2005.0
Боевик,1,15,США,2003.0
Триллер,1,49,США,2004.0
Триллер,2,33,Россия,2019.0
Боевик,6,20,Италия,2015.0
Триллер,0,19,США,2008.0
Боевик,1,25,Россия,2012.0
Драма,нет данных,60,Италия,2012.0
Комедия,1,38,Россия,2011.0
Боевик,2,26,Италия,2009.0
Боевик,1,59,Россия,2015.0
Боевик,1,40,Россия,2008.0
Боевик,1,9,Россия,2015.0
Боевик,2,39,Франция,2015.0
Драма,1,50,Италия,
Триллер,1,3,Италия,
Драма,0,73,Россия,
Документальный,1,52,Россия,2008.0
Документальный,2,30,США,2007.0
Боевик,1,10,США,
Триллер,1,4,Франция,2013.0
Боевик,1,51,Россия,2014.0
Триллер,1,7,Италия,1999.0
Боевик,0,30,Россия,2018.0
Драма,8,36,Россия,2014.0
Боевик,2,0,Франция-Италия,2010.0
Боевик,1,57,Россия,2009.0
Боевик,3,29,Россия,2018.0
Драма,1,45,Россия-Германия,2006.0
Боевик,1,12,Россия,2015.0
Драма,2,4,Россия,2002.0
Боевик,1,6,Россия,2011.0
Комедия,2,36,Россия,2010.0
Триллер,нет данных,25,США,2012.0
Триллер,1,52,США,2014.0
Драма,1,51,Россия,2005.0
Комедия,1,30,Россия-Германия,2012.0
Драма,нет данных,31,Германия-Франция,2009.0
Боевик,0,46,Германия,2011.0
Драма,1,28,Россия-Германия,1991.0
Драма,1,44,Франция,1996.0
Комедия,1,44,Россия,2016.0
Драма,2,44,Россия,
Документальный,1,49,США,2010.0
Боевик,0,12,США,2009.0
Драма,нет данных,31,Италия,2002.0
Боевик,0,55,Германия,2010.0
Триллер,1,39,Россия,
